"","Year","Country","iso3","Cluster","fitGHG","lwrGHG","uprGHG","fitBio","lwrBio","uprBio","fitWat","lwrWat","uprWat","fitEF","lwrEF","uprEF"
"1",2010,"Afghanistan","AFG","9",1.38014838159946,1.32922595742858,1.43302163532567,5.77919185365298e-12,5.48816921093791e-12,6.08564663326427e-12,190.106661033395,162.241681763981,222.757445413079,0.677009167579904,0.624118542999117,0.734381982603397
"2",2010,"Albania","ALB","4",4.45195957287401,4.31597578817098,4.59222780925373,1.74684703296545e-11,1.70780817273043e-11,1.78677828418021e-11,13.018271286029,12.1602002247668,13.936891181403,0.591721854109909,0.57201499225948,0.612107649920543
"3",2010,"Algeria","DZA","6",5.13256222837718,4.9012594754141,5.37478073958498,5.88848617697835e-12,5.58769780910795e-12,6.20546612237083e-12,26.710729736283,23.5233215222797,30.3300315123019,0.548705128766066,0.51792138105288,0.581318573336607
"4",2010,"Angola","AGO","10",3.64509172313813,3.45058084539943,3.85056727124794,2.02286077958388e-11,1.93142341736415e-11,2.11862696537204e-11,5.95557996747607,4.97761123425254,7.12569364697047,0.447916759579662,0.413798721307349,0.484847857621405
"5",2010,"Argentina","ARG","3",9.06793188370989,8.81957202033554,9.32328558097926,2.17881900704611e-11,2.13524847991288e-11,2.22327860674046e-11,5.07491248774825,4.52862749367193,5.68709543769973,0.589816785704411,0.560866352177775,0.62026156382513
"6",2010,"Armenia","ARM","4",3.70652620104698,3.39171583249457,4.05055646095899,1.2688037343262e-11,1.22853196330853e-11,1.31039563016709e-11,86.1031136082186,78.1792447472615,94.8301073641352,0.9392717642868,0.877546020634029,1.00533923742145
"7",2010,"Australia","AUS","1",28.8323172173731,27.9714323326815,29.7196978058198,6.71998072618918e-11,5.7865753370824e-11,7.80394937070375e-11,43.3634854366849,38.9403669827565,48.2890125316552,2.58100230946126,2.35431357378508,2.82951812180839
"8",2010,"Austria","AUT","1",17.9341580155825,17.5560193660461,18.3204413837646,1.14203482833903e-11,1.11830837561578e-11,1.16626467044137e-11,25.3988470245465,24.6526484286816,26.1676319297924,1.02107095296558,0.998604371487503,1.04404298715118
"9",2010,"Azerbaijan","AZE","5",4.99528395204855,4.7749988494659,5.22573147098974,1.3403628058719e-11,1.28725648528011e-11,1.39566005058725e-11,83.7813810395432,80.0233181907481,87.7159304012049,1.04706705499596,1.01514328057175,1.07999475408084
"10",2010,"Bahrain","BHR","3",21.2437937875058,20.6443506872141,21.8606427164395,1.72124825446576e-11,1.60495817467739e-11,1.84596433741768e-11,248.246653164909,220.568708048046,279.39775026544,2.64840340803872,2.50473386780976,2.80031371869639
"11",2010,"Bangladesh","BGD","8",1.90448921228047,1.82740536390945,1.98482462146939,2.53323809906217e-12,2.47710452589957e-12,2.59064371303009e-12,4.69664826708179,4.44145634775047,4.96650270037095,0.166754922322047,0.161749189648821,0.17191556989562
"12",2010,"Belarus","BLR","3",8.0562755758607,7.79866783571693,8.32239268570451,4.08699214793117e-12,3.96149284681493e-12,4.21646724180779e-12,6.02454403053548,5.3990101054107,6.72255285084332,0.34367813839551,0.325173067564619,0.363236302734486
