observation_date,RTFPNAUSA632NRUG
2000-01-01,0.9101762175559998
2001-01-01,0.9118421673774720
2002-01-01,0.9240977168083192
2003-01-01,0.9418501257896424
2004-01-01,0.9582328796386720
2005-01-01,0.9687321782112122
2006-01-01,0.9693102836608888
2007-01-01,0.9674323201179504
2008-01-01,0.9610965251922609
2009-01-01,0.9613876342773438
2010-01-01,0.9771565794944764
2011-01-01,0.9752111434936525
2012-01-01,0.9776619672775269
2013-01-01,0.9794913530349731
2014-01-01,0.9840512871742249
2015-01-01,0.9928927421569824
2016-01-01,0.9937236309051514
2017-01-01,1.0000000000000000
2018-01-01,1.0081659555435181
2019-01-01,1.0167962312698364
