FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),PS,Persons,WB_ASPD_6,Sector: Trade services,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415.0960693359375,1502.0,1582.2540283203125,1627.7469482421875,1680.2550048828125,1716.4830322265625,1736.0999755859375,1781.9140625,1760.7479248046875,1748.1480712890625,1821.3050537109373,1907.887939453125,2005.512939453125,2103.39892578125,2183.14697265625,2257.3633254076194,
A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),PS,Persons,WB_ASPD_7,Sector: Transport services,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.613,199.874,199.064,212.137,225.717,238.433,244.884,252.807,249.002,247.273,258.184,272.314,287.327,301.503,310.46,290.65766672674056,
A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),PS,Persons,WB_ASPD_8,Sector: Finance and business services,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.92900085449219,50.3489990234375,57.08700180053711,72.23200225830078,91.15399932861328,115.68199920654295,135.38600158691406,153.4080047607422,161.94000244140625,173.75799560546875,185.4199981689453,202.7079925537109,219.3600006103516,233.2740020751953,235.7919921875,242.7487387891084,
A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),PS,Persons,WB_ASPD_9,Sector: Other services,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1279.9329833984375,1334.37890625,1393.989013671875,1444.052978515625,1490.925048828125,1532.5989990234375,1560.1070556640625,1589.5980224609375,1584.5440673828125,1584.303955078125,1645.7640380859375,1716.391845703125,1793.9259033203125,1872.2529296875,1937.0399169921875,1980.0086966981848,
A,Annual,AGO,Angola,WB_ASPD_EMPLOYMENT,Employment (thousands),PS,Persons,WB_ASPD_TOTAL,Sector: Total,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5471.14013671875,5671.10498046875,5905.18408203125,6374.953125,6833.17822265625,7335.2021484375,7830.8388671875,8254.671875,8709.798828125,9195.416015625,9534.390625,9877.6416015625,10246.638671875,10641.7373046875,11025.45703125,11342.9326171875,
A,Annual,AGO,Angola,WB_ASPD_LABOR_PRODUCTIVITY_PPP,"Labor productivity (2011 international PPP exchange rate, thousands)",PPP_WKR_K_2011,"PPP dollars per worker, 2011 constant prices",WB_ASPD_1,Sector: Agriculture,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2485724687576294,1.384713888168335,1.6625473499298096,1.5575920343399048,1.8437018394470213,1.8524091243743896,1.8145514726638796,1.8211711645126345,2.0053133964538574,2.191704273223877,2.373020887374878,2.5248794555664062,2.8524739742279053,2.810431718826294,2.803813934326172,2.6467130184173584,
A,Annual,AGO,Angola,WB_ASPD_LABOR_PRODUCTIVITY_PPP,"Labor productivity (2011 international PPP exchange rate, thousands)",PPP_WKR_K_2011,"PPP dollars per worker, 2011 constant prices",WB_ASPD_2,Sector: Mining,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.6786804199219,324.3164367675781,390.5435485839844,538.483154296875,633.793701171875,710.6307983398438,782.1544189453125,385.994384765625,603.7940063476562,803.2166748046875,806.6185302734375,714.2096557617188,567.5924682617188,380.8671569824219,316.2994689941406,275.3392639160156,
A,Annual,AGO,Angola,WB_ASPD_LABOR_PRODUCTIVITY_PPP,"Labor productivity (2011 international PPP exchange rate, thousands)",PPP_WKR_K_2011,"PPP dollars per worker, 2011 constant prices",WB_ASPD_3,Sector: Manufacturing,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.41242504119873,10.718583106994627,14.879444122314451,16.74042510986328,20.618698120117188,22.27874565124512,27.695877075195312,33.485740661621094,40.1889533996582,48.62660217285156,53.58380889892578,58.2019157409668,55.91402816772461,54.2496452331543,59.846336364746094,52.81558227539063,
A,Annual,AGO,Angola,WB_ASPD_LABOR_PRODUCTIVITY_PPP,"Labor productivity (2011 international PPP exchange rate, thousands)",PPP_WKR_K_2011,"PPP dollars per worker, 2011 constant prices",WB_ASPD_4,Sector: Utilities,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5317964553833,15.101332664489746,15.35093879699707,10.895034790039062,35.36297607421875,52.55708694458008,33.02427291870117,24.076602935791016,30.016719818115234,32.414974212646484,29.927629470825195,30.752840042114254,24.805015563964844,22.08735656738281,24.50075340270996,25.948360443115234,
A,Annual,AGO,Angola,WB_ASPD_LABOR_PRODUCTIVITY_PPP,"Labor productivity (2011 international PPP exchange rate, thousands)",PPP_WKR_K_2011,"PPP dollars per worker, 2011 constant prices",WB_ASPD_5,Sector: Construction,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.318665504455566,9.58489990234375,11.336071968078612,13.976603507995604,20.20673179626465,22.446123123168945,22.04061889648437,25.127199172973636,28.164270401000977,30.77408599853516,40.66166305541992,43.928836822509766,44.30665969848633,36.514591217041016,36.212646484375,32.086204528808594,
A,Annual,AGO,Angola,WB_ASPD_LABOR_PRODUCTIVITY_PPP,"Labor productivity (2011 international PPP exchange rate, thousands)",PPP_WKR_K_2011,"PPP dollars per worker, 2011 constant prices",WB_ASPD_6,Sector: Trade services,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2366509437561035,3.729438304901123,4.406976222991943,5.101043701171875,5.443856716156006,6.033360958099365,6.676429271697998,7.37730598449707,9.01405143737793,10.8919095993042,11.601850509643556,12.11826515197754,14.894818305969238,12.121195793151855,11.679369926452637,9.272011756896973,
A,Annual,AGO,Angola,WB_ASPD_LABOR_PRODUCTIVITY_PPP,"Labor productivity (2011 international PPP exchange rate, thousands)",PPP_WKR_K_2011,"PPP dollars per worker, 2011 constant prices",WB_ASPD_7,Sector: Transport services,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.771312713623047,7.038593769073486,7.606389999389648,10.51787567138672,13.65034008026123,15.542505264282228,21.102214813232425,22.350889205932617,24.65000534057617,33.93190383911133,33.4898796081543,33.87784957885742,33.071903228759766,28.518991470336918,23.284364700317383,29.74492835998535,
A,Annual,AGO,Angola,WB_ASPD_LABOR_PRODUCTIVITY_PPP,"Labor productivity (2011 international PPP exchange rate, thousands)",PPP_WKR_K_2011,"PPP dollars per worker, 2011 constant prices",WB_ASPD_8,Sector: Finance and business services,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.14644622802734,61.833770751953125,79.90284729003906,60.85972213745117,59.96843338012695,56.831764221191406,52.617584228515625,52.34520721435547,54.93803024291992,53.89294052124024,57.010684967041016,53.055267333984375,45.84776306152344,42.37440872192383,45.69831085205078,37.36370849609375,
A,Annual,AGO,Angola,WB_ASPD_LABOR_PRODUCTIVITY_PPP,"Labor productivity (2011 international PPP exchange rate, thousands)",PPP_WKR_K_2011,"PPP dollars per worker, 2011 constant prices",WB_ASPD_9,Sector: Other services,WB_ASPD,Global Productivity: A Cross-country Database of Productivity,3,Thousands,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.688350677490234,6.692502021789551,7.080409049987793,8.204188346862793,12.456842422485352,11.281726837158203,13.710437774658203,15.268754005432127,16.896791458129883,20.32720947265625,21.122791290283203,22.970346450805664,22.75205612182617,18.592681884765625,15.249238014221191,12.63644027709961,
