"","Rate","lwrRate","uprRate","Country","iso3","cluster"
"1",-3.55768166680328,-4.84458601947324,-2.25337291491269,"Afghanistan","AFG",9
"2",0.399422479266787,-0.160613091448736,0.962599493957228,"Albania","ALB",4
"3",-1.01668221319471,-1.9560099802035,-0.0683550505707897,"Algeria","DZA",6
"4",-0.992960465842208,-2.27993377190608,0.310962279108207,"Angola","AGO",10
"5",1.20373743878153,0.366057295330857,2.0484090696099,"Argentina","ARG",3
"6",2.19168715501523,1.05092100948003,3.3453314355125,"Armenia","ARM",4
"7",-3.72874285942185,-5.17924760189932,-2.25604926107962,"Australia","AUS",1
"8",-0.596439340274435,-0.961001815652374,-0.230534910707847,"Austria","AUT",1
"9",0.498352657207191,-0.0142245661366558,1.01355760843282,"Azerbaijan","AZE",5
"10",-1.16612132977157,-2.07228593927694,-0.2515716138906,"Bahrain","BHR",3
"11",0.939883467174751,0.433096980951042,1.44922720345189,"Bangladesh","BGD",8
"12",1.28042477749246,0.358896695329025,2.2104146307014,"Belarus","BLR",3
"13",-1.72653163715676,-2.44987294491489,-0.997826700838567,"Belgium","BEL",1
"14",-0.0545963099820024,-1.23262282289379,1.13748085917669,"Benin","BEN",10
"15",1.09978022143522,0.453793038264494,1.74992154780151,"Bhutan","BTN",8
"16",1.08872488643983,0.428726042956851,1.75306111913962,"Bolivia","BOL",7
"17",-1.09037168629297,-1.76175317170003,-0.414401834200828,"Botswana","BWA",7
"18",1.83197128326662,0.880820030759155,2.79209043180102,"Brazil","BRA",4
"19",0.0501478303759573,-0.430659169512626,0.533276582816211,"Bulgaria","BGR",3
"20",-0.915956756683323,-2.01083027845935,0.191150239792948,"Burkina Faso","BFA",10
"21",-1.18914569442001,-1.86185010747129,-0.511830116110035,"Burundi","BDI",10
"22",-0.836043209250459,-1.86497208896387,0.203673812699656,"Cambodia","KHM",9
"23",-2.24289165659929,-3.22899060809182,-1.24674433268359,"Cameroon","CMR",9
"24",-0.336031495816969,-0.747565562747132,0.0772089301481538,"Canada","CAN",1
"25",0.288875070718797,-0.318228913463148,0.899676573951536,"Central African Republic","CAF",11
"26",-3.62332439670378,-5.01365233210069,-2.21264604447955,"Chad","TCD",11
"27",1.53287709495513,0.863165614851202,2.2070353268921,"Chile","CHL",3
"28",3.6606744725151,2.27821641812864,5.06181871775497,"China","CHN",5
"29",0.550451477666303,0.258603930266466,0.843148577998099,"Colombia","COL",4
"30",-0.178180076421619,-0.76413652735533,0.411236262403181,"Costa Rica","CRI",4
"31",0.0725865955751193,-0.936127962767985,1.09157235611625,"Croatia","HRV",2
"32",0.114764948274937,-0.377158806075661,0.60911775380692,"Cuba","CUB",6
"33",-2.15969587834247,-3.16302945156968,-1.14596670668354,"Cyprus","CYP",2
"34",-0.273263684357428,-0.637007005936319,0.0918112114827174,"Czechia","CZE",2
"35",-1.41770787277085,-2.15302754493523,-0.676862275718804,"Denmark","DNK",1
"36",3.46950533766706,1.47107291531776,5.50729609172562,"Djibouti","DJI",8
"37",1.8188553001909,0.948793534761938,2.69641599105677,"Dominican Republic","DOM",5
"38",-1.15759165144141,-1.74484793149634,-0.566825428841966,"Ecuador","ECU",6
"39",-0.54478042715379,-0.982787860137158,-0.104835447079343,"Egypt","EGY",6
"40",-0.98339090441445,-1.59338973037784,-0.369610842956247,"El Salvador","SLV",5
"41",-2.37734194734037,-4.4341795778029,-0.276235549871007,"Equatorial Guinea","GNQ",9
"42",-4.80297786609069,-6.63470605652891,-2.93531310841285,"Eritrea","ERI",10
"43",0.15009653877327,-0.619337769879191,0.925488034086053,"Estonia","EST",2
"44",1.68477776287295,0.806431165660393,2.57077756966664,"Ethiopia","ETH",11
"45",-0.642236686960229,-1.19090479885783,-0.0905219253954037,"Finland","FIN",1
"46",-1.34416910732598,-1.93416074242878,-0.750627916821134,"France","FRA",2
"47",0.0302902581291065,-0.482243503830382,0.545463658143097,"Gabon","GAB",7
"48",0.606527340149476,-0.384178707848315,1.60708622538548,"Georgia","GEO",4
"49",-0.771773238371376,-1.17656372654341,-0.365324688655499,"Germany","DEU",1
"50",0.0408290845084203,-0.654372574120088,0.740895631091032,"Ghana","GHA",8
"51",-2.57961354918276,-3.67779646588279,-1.4689100954281,"Greece","GRC",2
"52",-1.92670703607137,-2.78223591308074,-1.06364939447591,"Guatemala","GTM",7
"53",1.33827702388878,0.729676840393267,1.95055431819184,"Guinea","GIN",10
"54",1.07736046901317,0.522844664547351,1.6349351580383,"Haiti","HTI",10
"55",-1.16970526322675,-1.86268570845987,-0.471831450970694,"Honduras","HND",7
"56",-0.658437440505977,-1.24371598427739,-0.0696902468434457,"Hungary","HUN",2
"57",-2.24051280959046,-3.58630267818191,-0.875937743244815,"Iceland","ISL",1
"58",0.423236806096527,0.226386187876981,0.620474050706243,"India","IND",8
"59",0.884362328067478,-0.013900060199401,1.79069459123358,"Indonesia","IDN",7
"60",-0.556825879086331,-0.931249341653895,-0.180987309046543,"Iran","IRN",6
"61",1.11423884997275,0.27327480309991,1.96225582824252,"Iraq","IRQ",6
"62",1.50974948195093,0.646234086405917,2.38067358826501,"Ireland","IRL",2
"63",-1.42473784397904,-2.00864862703644,-0.837347653833231,"Israel","ISR",2
"64",-2.42847408579883,-3.36712716803346,-1.48070330290015,"Italy","ITA",2
