"","Rate","lwrRate","uprRate","Country","iso3","cluster"
"1",-6.58549384746314,-8.99890597736547,-4.10807635398451,"Afghanistan","AFG",9
"2",-0.677740969905904,-1.78988259194753,0.44699465996425,"Albania","ALB",4
"3",-3.68980913001744,-5.68985934760584,-1.64734352798359,"Algeria","DZA",6
"4",0.984197541441878,-1.96342114253082,4.02044085927431,"Angola","AGO",10
"5",3.08640873679362,1.16564074761469,5.04364513205382,"Argentina","ARG",3
"6",1.61909517380996,0.0117999958281434,3.25222128163476,"Armenia","ARM",4
"7",-2.39368269963426,-4.11256773685481,-0.643984805072062,"Australia","AUS",1
"8",-0.100169927757565,-0.590919208841811,0.393002017885768,"Austria","AUT",1
"9",-0.300615649837643,-1.05337463529919,0.457870121030735,"Azerbaijan","AZE",5
"10",0.334557556442872,-1.60521069922006,2.31256666726103,"Bahrain","BHR",3
"11",0.17281559671718,-0.747138183948304,1.10129623437272,"Bangladesh","BGD",8
"12",1.90922985072155,0.0808487533487279,3.77101371674464,"Belarus","BLR",3
"13",-1.91440697075699,-2.91213867921131,-0.906421987088724,"Belgium","BEL",1
"14",0.469869703694892,-2.89697402114429,3.9534516717888,"Benin","BEN",10
"15",3.20851842284795,1.28345867171968,5.17016712042426,"Bhutan","BTN",8
"16",1.46279097743971,0.305630145526536,2.63330122143446,"Bolivia","BOL",7
"17",-2.03972826507552,-3.59383803822807,-0.46056555819074,"Botswana","BWA",7
"18",5.95981339771194,3.23679780652646,8.75465235098714,"Brazil","BRA",4
"19",0.664559864995051,-0.134753531683074,1.47027090178027,"Bulgaria","BGR",3
"20",-1.9322012191451,-4.80536619609633,1.02768163942311,"Burkina Faso","BFA",10
"21",0.902326612764726,-0.440037856676034,2.26279014863766,"Burundi","BDI",10
"22",-2.01043531799266,-4.98811021940205,1.06055998614694,"Cambodia","KHM",9
"23",-2.74937780653888,-4.88241054612385,-0.568511341412037,"Cameroon","CMR",9
"24",0.773059120273056,-0.070261590636389,1.62349672984319,"Canada","CAN",1
"25",2.6104572513822,0.291457733096467,4.98307807388831,"Central African Republic","CAF",11
"26",-8.77706307773789,-12.181482765614,-5.24066583232385,"Chad","TCD",11
"27",2.48967776327731,1.35213552549507,3.63998739205758,"Chile","CHL",3
"28",3.14039679043072,1.92355358548275,4.37176762253981,"China","CHN",5
"29",2.11174866724366,1.16346270321557,3.06892367327904,"Colombia","COL",4
"30",0.385790897181382,-0.77677382311111,1.56197699203449,"Costa Rica","CRI",4
"31",1.3379546429547,-0.732248891869403,3.45133174248391,"Croatia","HRV",2
"32",1.01143096923815,0.441620736144088,1.58447376368835,"Cuba","CUB",6
"33",-3.5792880692232,-5.09636684054406,-2.03795808726085,"Cyprus","CYP",2
