"","Rate","lwrRate","uprRate","Country","iso3","cluster"
"1",-2.77410966538926,-3.60019670649256,-1.9409435662779,"Afghanistan","AFG",9
"2",1.03148143527889,0.655079671613201,1.40929076116747,"Albania","ALB",4
"3",-1.4451211023404,-2.29480334913238,-0.588049689513637,"Algeria","DZA",6
"4",-2.55465736288695,-3.29619108155229,-1.80743749532977,"Angola","AGO",10
"5",-0.27995731125896,-0.612060617721055,0.053255713412903,"Argentina","ARG",3
"6",0.810662497647097,0.275105073129644,1.34908027075005,"Armenia","ARM",4
"7",-7.57041964383744,-9.82514893080442,-5.259313173019,"Australia","AUS",1
"8",-0.877034787719255,-1.2201107469213,-0.532767279157598,"Austria","AUT",1
"9",-0.0947994312584188,-0.759576994433175,0.574431248853147,"Azerbaijan","AZE",5
"10",-3.15599275968195,-4.26831707602209,-2.03074413921457,"Bahrain","BHR",3
"11",0.603657446425276,0.232055341474124,0.976637235630573,"Bangladesh","BGD",8
"12",1.03990633208706,0.520829518338051,1.5616635926635,"Belarus","BLR",3
"13",-2.44926677565357,-3.20188153433261,-1.69080036423623,"Belgium","BEL",1
"14",-1.82768046849012,-2.47765359403597,-1.17337536079349,"Benin","BEN",10
"15",-1.39559718349357,-1.83065848941018,-0.95860779761846,"Bhutan","BTN",8
"16",-0.181215402061974,-0.465466873322662,0.103847836696658,"Bolivia","BOL",7
"17",-1.74268947082264,-2.24965128929295,-1.23309840050028,"Botswana","BWA",7
"18",-1.4406688251382,-1.87725533617273,-1.00213976977035,"Brazil","BRA",4
"19",-0.347085392013735,-0.754477799066255,0.0619793179260419,"Bulgaria","BGR",3
"20",-1.8799107383054,-2.48411820819765,-1.27195960471482,"Burkina Faso","BFA",10
"21",-2.18094986522663,-2.84176963426737,-1.51563554368623,"Burundi","BDI",10
"22",-1.74088326337544,-2.24633839329761,-1.23281457520732,"Cambodia","KHM",9
"23",-2.61084805424464,-3.35960721742894,-1.85628758719237,"Cameroon","CMR",9
"24",-1.38141569416521,-1.81145850844523,-0.949489393082092,"Canada","CAN",1
"25",-2.58113298993548,-3.45577232330763,-1.69856988958222,"Central African Republic","CAF",11
"26",-3.36346683180641,-4.32500542178731,-2.39226472980654,"Chad","TCD",11
"27",0.181812853195251,0.0522449928229252,0.31154850420978,"Chile","CHL",3
"28",3.29375743822042,2.22799678464709,4.37062899884888,"China","CHN",5
"29",-0.951165041673996,-1.26992636488436,-0.631374561111331,"Colombia","COL",4
"30",-1.92481225136039,-2.54824920038188,-1.29738693244081,"Costa Rica","CRI",4
